COMMAND,MAJOR,MINOR,GROUP
PERF_RES_FPS_FBT_RESCUE_SECOND_TIME,8,15,6
PERF_RES_FPS_FBT_RESCUE_SECOND_GROUP,8,15,7
PERF_RES_FPS_FBT_RESCUE_SECOND_RESCUE_F,8,15,8
PERF_RES_FPS_FBT_RESCUE_F_OPP,8,15,9
PERF_RES_FPS_FBT_RESCUE_SECOND_GAME_ENABLE,8,15,10
PERF_RES_FPS_FBT_RESCUE_SECOND_ENABLE_BY_PID,8,15,11
PERF_RES_FPS_FPSGO_ADJ_LOADING,8,16,0
PERF_RES_FPS_FPSGO_ADJ_CNT,8,16,1
PERF_RES_FPS_FPSGO_ADJ_DEBNC_CNT,8,16,2
PERF_RES_FPS_FPSGO_ADJ_LOADING_TIMEDIFF,8,16,3
PERF_RES_FPS_FPSGO_ADJ_LOADING_HWUI_HINT,8,16,4
PERF_RES_FPS_FPSGO_LLF_TH,8,17,0
PERF_RES_FPS_FPSGO_LLF_POLICY,8,17,1
PERF_RES_FPS_FPSGO_LLF_LIGHT_LOADING_POLICY,8,17,2
PERF_RES_FPS_FPSGO_LLF_POLICY_90,8,17,3
PERF_RES_FPS_FPSGO_LLF_LIGHT_LOADING_POLICY_90,8,17,4
PERF_RES_FPS_FPSGO_LLF_POLICY_120,8,17,5
PERF_RES_FPS_FPSGO_LLF_LIGHT_LOADING_POLICY_120,8,17,6
PERF_RES_FPS_FPSGO_LLF_LOADING_IGNORE_ENABLE,8,17,7
PERF_RES_FPS_FPSGO_LLF_POLICY_BY_PID,8,17,8
PERF_RES_FPS_FPSGO_LLF_TH_BY_PID,8,17,10
PERF_RES_FPS_FPSGO_LLF_LIGHT_LOADING_POLICY_BY_PID,8,17,12
PERF_RES_FPS_FBT_SEPERATECAP_ENABLE,8,17,13
PERF_RES_FPS_FBT_LIMIT_UCLAMP,8,17,14
PERF_RES_FPS_FBT_LIMIT_R_UCLAMP,8,17,15
PERF_RES_FPS_FBT_LIMIT_UCLAMP_M,8,17,16
PERF_RES_FPS_FBT_LIMIT_R_UCLAMP_M,8,17,17
PERF_RES_FPS_FBT_SEPARATE_AA_BY_PID,8,17,18
PERF_RES_FPS_FBT_LIMIT_UCLAMP_BY_PID,8,17,19
PERF_RES_FPS_FBT_LIMIT_RUCLAMP_BY_PID,8,17,20
PERF_RES_FPS_FBT_LIMIT_UCLAMP_M_BY_PID,8,17,21
PERF_RES_FPS_FBT_LIMIT_RUCLAMP_M_BY_PID,8,17,22
PERF_RES_FPS_FBT_SEPARATE_RELEASE_SEC,8,17,23
PERF_RES_FPS_FBT_SEPARATE_RELEASE_SEC_BY_PID,8,17,24
PERF_RES_FPS_FBT_SEPARATE_PCT_M_BY_PID,8,17,25
PERF_RES_FPS_FBT_SEPARATE_PCT_B_BY_PID,8,17,26
PERF_RES_FPS_FBT_BLC_BOOST,8,17,27
PERF_RES_FPS_FBT_BLC_BOOST_BY_PID,8,17,28
PERF_RES_FPS_FBT_LIMIT_CFREQ2CAP_BY_PID,8,17,29
PERF_RES_FPS_FBT_LIMIT_RFREQ2CAP_BY_PID,8,17,30
PERF_RES_FPS_FBT_LIMIT_CFREQ2CAP_M_BY_PID,8,17,31
PERF_RES_FPS_FBT_LIMIT_RFREQ2CAP_M_BY_PID,8,17,32
PERF_RES_FPS_FPSGO_DEP_FRAMES,8,18,0
PERF_RES_FPS_FPSGO_SP_NAME_ID,8,18,1
PERF_RES_FPS_FPSGO_SP_SUB,8,18,2
PERF_RES_FPS_FPSGO_SP_CK_PERIOD,8,18,3
PERF_RES_FPS_FPSGO_SUB_QUE_DEQUE_PERIOD,8,18,4
PERF_RES_FPS_FPSGO_EMA_DIVIDEND,8,18,5
PERF_RES_FPS_FPSGO_STDDEV_MULTI,8,18,6
PERF_RES_FPS_FPSGO_UBOOST,8,18,7
PERF_RES_FPS_FPSGO_UBOOST_F,8,18,8
PERF_RES_FPS_GBE1_ENABLE,8,19,0
PERF_RES_FPS_GBE2_ENABLE,8,19,1
PERF_RES_FPS_GBE2_TIMER2_MS,8,19,2
PERF_RES_FPS_GBE2_LOADING_TH,8,19,3
PERF_RES_FPS_GBE2_MAX_BOOST_CNT,8,19,4
PERF_RES_FPS_GBE_POLICY_MASK,8,19,5
PERF_RES_FPS_GBE2_TIMER1_MS,8,19,6
PERF_RES_FPS_GBE_THRM_HDRM_THRS,8,19,7
PERF_RES_FPS_GBE_CPU_1,8,19,8
PERF_RES_FPS_GBE_CPU_0,8,19,9
PERF_RES_FPS_FPSGO_IDLEPREFER,8,20,0
PERF_RES_FPS_FPSGO_THRM_TEMP_TH,8,21,0
PERF_RES_FPS_FPSGO_THRM_LIMIT_CPU,8,21,1
PERF_RES_FPS_FPSGO_THRM_SUB_CPU,8,21,2
PERF_RES_FPS_FPSGO_THRM_ACTIVATE_FPS,8,21,3
PERF_RES_FPS_FPSGO_THRM_ENABLE,8,21,4
PERF_RES_FPS_FPSGO_CM_BIG_CAP,8,22,0
PERF_RES_FPS_FPSGO_CM_TDIFF,8,22,1
PERF_RES_FPS_FPSGO_CM_BIG_CAP_90,8,22,2
PERF_RES_FPS_FPSGO_CM_TDIFF_90,8,22,3
PERF_RES_FPS_FPSGO_CM_BIG_CAP_120,8,22,4
PERF_RES_FPS_FPSGO_CM_TDIFF_120,8,22,5
PERF_RES_FPS_FPSGO_BOOST_AFFINITY,8,23,0
PERF_RES_FPS_FPSGO_BOOST_AFFINITY_90,8,23,1
PERF_RES_FPS_FPSGO_BOOST_AFFINITY_120,8,23,2
PERF_RES_FPS_FPSGO_BOOST_LR,8,23,3
PERF_RES_FPS_FBT_BOOST_AFFINITY_BY_PID,8,23,4
PERF_RES_FPS_FBT_BOOST_LR_BY_PID,8,23,5
PERF_RES_FPS_FBT_RESET_TASKMASK_BY_PID,8,23,6
PERF_RES_FPS_FPSGO_SPID,8,24,0
PERF_RES_FPS_FBT_LIMIT_CFREQ,8,25,0
PERF_RES_FPS_FBT_LIMIT_RFREQ,8,25,1
PERF_RES_FPS_FBT_LIMIT_CFREQ_M,8,25,2
PERF_RES_FPS_FBT_LIMIT_RFREQ_M,8,25,3
PERF_RES_FPS_FBT_CEILING_ENABLE,8,25,4
PERF_RES_FPS_FBT_MINITOP_ENABLE,8,25,5
PERF_RES_FPS_FBT_MINITOP_THRS_HEAVY,8,25,6
PERF_RES_FPS_FBT_FILTERFRAME_ENABLE,8,25,7
PERF_RES_FPS_FBT_FILTER_FRAME_ENABLE_BY_PID,8,25,8
PERF_RES_FPS_L_MIN_CAP_ENABLE,8,25,9
PERF_RES_FPS_FBT_QR_ENABLE,8,26,0
PERF_RES_FPS_FBT_QR_HWUI_HINT,8,26,1
PERF_RES_FPS_FBT_QR_T2WNT_X,8,26,2
PERF_RES_FPS_FBT_QR_T2WNT_Y_P,8,26,3
PERF_RES_FPS_FBT_QR_T2WNT_Y_N,8,26,4
PERF_RES_FPS_FBT_QR_T2WNT_X_90,8,26,5
PERF_RES_FPS_FBT_QR_T2WNT_Y_P_90,8,26,6
PERF_RES_FPS_FBT_QR_T2WNT_Y_N_90,8,26,7
PERF_RES_FPS_FBT_QR_T2WNT_X_120,8,26,8
PERF_RES_FPS_FBT_QR_T2WNT_Y_P_120,8,26,9
PERF_RES_FPS_FBT_QR_T2WNT_Y_N_120,8,26,10
PERF_RES_FPS_FBT_QR_ENABLE_BY_PID,8,26,11
PERF_RES_FPS_FBT_QR_T2WNT_X_BY_PID,8,26,12
PERF_RES_FPS_FBT_QR_T2WNT_Y_P_BY_PID,8,26,13
PERF_RES_FPS_FBT_QR_T2WNT_Y_N_BY_PID,8,26,14
PERF_RES_FPS_FBT_GCC_ENQ_BOUND_THRS,8,27,1
PERF_RES_FPS_FBT_GCC_ENQ_BOUND_QUOTA,8,27,2
PERF_RES_FPS_FBT_GCC_DEQ_BOUND_THRS,8,27,3
PERF_RES_FPS_FBT_GCC_DEQ_BOUND_QUOTA,8,27,4
PERF_RES_FPS_FBT_GCC_FPS_MARGIN,8,27,5
PERF_RES_FPS_FBT_GCC_UP_SEC_PCT,8,27,6
PERF_RES_FPS_FBT_GCC_DOWN_STEP,8,27,7
PERF_RES_FPS_FBT_GCC_UPPER_CLAMP,8,27,8
PERF_RES_FPS_FBT_GCC_UP_QUOTA_PCT,8,27,9
PERF_RES_FPS_FBT_GCC_DOWN_QUOTA_PCT,8,27,10
PERF_RES_FPS_FBT_GCC_POSITIVE_CLAMP,8,27,11
PERF_RES_FPS_FBT_GCC_DOWN_SEC_PCT,8,27,12
PERF_RES_FPS_FBT_GCC_UP_STEP,8,27,13
PERF_RES_FPS_FBT_GCC_HWUI_HINT,8,27,14
PERF_RES_FPS_FBT_GCC_ENABLE_BY_PID,8,27,15
PERF_RES_FPS_FBT_GCC_FPS_MARGIN_BY_PID,8,27,16
PERF_RES_FPS_FBT_GCC_ENQ_BOUND_THRS_BY_PID,8,27,17
PERF_RES_FPS_FBT_GCC_ENQ_BOUND_QUOTA_BY_PID,8,27,18
PERF_RES_FPS_FBT_GCC_DEQ_BOUND_THRS_BY_PID,8,27,19
PERF_RES_FPS_FBT_GCC_DEQ_BOUND_QUOTA_BY_PID,8,27,20
PERF_RES_FPS_FBT_GCC_UP_SEC_PCT_BY_PID,8,27,21
PERF_RES_FPS_FBT_GCC_UP_STEP_BY_PID,8,27,22
PERF_RES_FPS_FBT_GCC_DOWN_STEP_BY_PID,8,27,23
PERF_RES_FPS_FBT_GCC_DOWN_SEC_PCT_BY_PID,8,27,24
PERF_RES_FPS_FBT_GCC_UP_QUOTA_PCT_BY_PID,8,27,25
PERF_RES_FPS_FBT_GCC_DOWN_QUOTA_PCT_BY_PID,8,27,26
PERF_RES_FPS_FBT_GCC_QR_FILTER_OUTLIER,8,27,27
PERF_RES_FRS_ENABLE,8,28,0
PERF_RES_FRS_THRESHOLD,8,28,1
PERF_RES_FRS_TARGET_TEMP,8,28,2
PERF_RES_FRS_MAX_FPS,8,28,3
PERF_RES_FRS_MIN_FPS,8,28,4
PERF_RES_FRS_CEILING,8,28,5
PERF_RES_FRS_CEILING_TH,8,28,6
PERF_RES_FRS_PTIME,8,28,7
PERF_RES_FRS_OT_PTIME,8,28,8
PERF_RES_FRS_THROTTLED,8,28,9
PERF_RES_FRS_OT_THROTTLED,8,28,10
PERF_RES_FRS_MAX_THROTTLED_FPS,8,28,11
PERF_RES_FRS_FPS_RATIO,8,28,12
PERF_RES_FRS_FPS_RATIO_STEP,8,28,13
PERF_RES_FRS_MODE,8,28,14
PERF_RES_FRS_MAX_FPS_DIFF,8,28,15
PERF_RES_FRS_UR_PTIME,8,28,16
PERF_RES_FRS_URGENT_TEMP_OFFSET,8,28,17
PERF_RES_FRS_TZ_INDEX,8,28,18
PERF_RES_FRS_SYS_CEILING_ENABLE,8,28,19
PERF_RES_FRS_COLD_THRESHOLD,8,28,20
PERF_RES_FRS_LIMIT_CFREQ,8,28,21
PERF_RES_FRS_LIMIT_RFREQ,8,28,22
PERF_RES_FRS_LIMIT_CFREQ_M,8,28,23
PERF_RES_FRS_LIMIT_RFREQ_M,8,28,24
PERF_RES_FRS_CT_PTIME,8,28,25
PERF_RES_FRS_MIN_FPS_TARGET_TEMP,8,28,26
PERF_RES_FPS_FPSGO_MARGIN_MODE_GPU,8,29,0
PERF_RES_FPS_FPSGO_MARGIN_MODE_GPU_DBNC_A,8,29,1
PERF_RES_FPS_FPSGO_MARGIN_MODE_GPU_DBNC_B,8,29,2
PERF_RES_FPS_FPSGO_EMA2_ENABLE,8,30,0
PERF_RES_FPS_FPSGO_EMA2_ENABLE_BY_PID,8,30,1
PERF_RES_FPS_FSTB_SELF_CTRL_FPS_ENABLE,8,31,0
PERF_RES_FPS_FSTB_CONSIDER_DEQ,8,31,1
PERF_RES_FPS_FSTB_TFPS_TO_POWERHAL_ENABLE,8,32,0
PERF_RES_FPS_FSTBV2_ENABLE_BY_PID,8,32,1
PERF_RES_FPS_FSTB_GPU_SLOWDOWN_CHECK,8,32,2
PERF_RES_FPS_FPSGO_SET_VIDEO_PID,8,33,0
PERF_RES_FPS_FPSGO_CLEAR_VIDEO_PID,8,33,1
PREF_RES_FPS_FSTB_NOTIFY_FPS_BY_PID,8,34,0
PERF_RES_FPS_FBT_CAM_RESCUE_PCT_1,8,35,0
PERF_RES_FPS_FBT_CAM_RESCUE_PCT_2,8,35,1
PERF_RES_FPS_FBT_CAM_RESCUE_F_1,8,35,2
PERF_RES_FPS_FBT_CAM_RESCUE_F_2,8,35,3
PERF_RES_FPS_FBT_CAM_GCC_HISTORY_WINDOW,8,35,4
PERF_RES_FPS_FBT_CAM_GCC_STD_FILTER,8,35,5
PERF_RES_FPS_FBT_CAM_GCC_UP_CHECK,8,35,6
PERF_RES_FPS_FBT_CAM_GCC_UP_THRS,8,35,7
PERF_RES_FPS_FBT_CAM_GCC_UP_STEP,8,35,8
PERF_RES_FPS_FBT_CAM_GCC_DOWN_CHECK,8,35,9
PERF_RES_FPS_FBT_CAM_GCC_DOWN_THRS,8,35,10
PERF_RES_FPS_FBT_CAM_GCC_DOWN_STEP,8,35,11
PERF_RES_FPS_FBT_CAM_GCC_ENABLE,8,35,12
PERF_RES_DISP_DFPS_MODE,9,0,0
PERF_RES_DISP_DFPS_FPS,9,0,1
PERF_RES_DISP_VIDEO_MODE,9,1,0
PERF_RES_DISP_DECOUPLE,9,2,0
PERF_RES_DISP_IDLE_TIME,9,3,0
PERF_RES_VIDEO_COLOR_CONVERT_MODE,9,4,0
PERF_RES_DISP_LPHRT_MODE,9,5,0
PERF_RES_VIDEO_HIGH_CPU_FREQ_MODE,9,6,0
PERF_RES_VIDEO_LOW_LATENCY_MODE,9,7,0
PERF_RES_NET_WIFI_CAM,10,0,0
PERF_RES_NET_WIFI_LOW_LATENCY,10,1,0
PERF_RES_NET_WIFI_SMART_PREDICT,10,1,1
PERF_RES_NET_WIFI_TWT_SMART_STA,10,1,2
PERF_RES_NET_WIFI_INFO_DELAY_BOUND_UDP,10,1,3
PERF_RES_NET_WIFI_INFO_DELAY_BOUND_TCP,10,1,4
PERF_RES_NET_WIFI_INFO_PHY_RATE,10,1,5
PERF_RES_NET_WIFI_INFO_PRIORITY_UDP,10,1,6
PERF_RES_NET_WIFI_INFO_PRIORITY_TCP,10,1,7
PERF_RES_NET_WIFI_INFO_MONITOR_PROTOCOL,10,1,8
PERF_RES_NET_NETD_BOOST_UID,10,2,0
PERF_RES_NET_NETD_BLOCK_UID,10,2,1
PERF_RES_NET_NETD_BOOST_UID_2,10,2,2
PERF_RES_NET_MD_LOW_LATENCY,10,3,0
PERF_RES_NET_MD_GAME_MODE,10,3,1
PERF_RES_NET_MD_CERT_PID,10,3,2
PERF_RES_NET_MD_CRASH_PID,10,3,3
PERF_RES_NET_MD_WEAK_SIG_OPT,10,3,4
PERF_RES_NET_MD_HSR_MODE,10,3,5
PERF_RES_NET_BT_AUDIO_LOW_LATENCY,10,4,0
PERF_RES_IO_BOOST_VALUE,11,0,0
PERF_RES_IO_UCLAMP_MIN,11,0,1
PERF_RES_IO_UTIL_MIN,11,0,2
PERF_RES_IO_F2FS_UFS_BOOST,11,1,0
PERF_RES_IO_F2FS_EMMC_BOOST,11,2,0
PERF_RES_IO_BLKDEV_READAHEAD,11,3,0
PERF_RES_IO_EXT4_DATA_BOOST,11,4,0
PERF_RES_IO_DATA_FS_BOOST,11,5,0
PERF_RES_IO_UFS_CLK_SCALE,11,6,0
PERF_RES_IO_PERF_MODE,11,7,0
PERF_RES_THERMAL_POLICY,12,0,0
PERF_RES_UX_PREDICT_LOW_LATENCY,12,1,0
PERF_RES_UX_PREDICT_GAME_MODE,12,1,1
PERF_RES_UX_SCROLL_SAVE_POWER,12,1,2
PERF_RES_UX_SBE_RESCUE_ENHANS,12,1,3
PERF_RES_CFP_ENABLE,12,2,0
PERF_RES_CFP_POLLING_MS,12,2,1
PERF_RES_CFP_UP_LOADING,12,2,2
PERF_RES_CFP_DOWN_LOADING,12,2,3
PERF_RES_CFP_UP_TIME,12,2,4
PERF_RES_CFP_DOWN_TIME,12,2,5
PERF_RES_CFP_UP_OPP,12,2,6
PERF_RES_CFP_DOWN_OPP,12,2,7
PERF_RES_PERF_TASK_TURBO,12,3,0
PERF_RES_TOUCH_CHANGE_RATE,12,4,0
PERF_RES_THERMAL_SPORTS_CG_POLICY,12,5,0
PERF_RES_MAGT_THERMAL_AWARE_THRESHOLD,12,6,0
PERF_RES_MAGT_FPSDROP_AWARE_THRESHOLD,12,6,1
PERF_RES_MAGT_ADVICE_BAT_AVG_CURRENT,12,6,2
PERF_RES_MAGT_ADVICE_BAT_MAX_CURRENT,12,6,3
PERF_RES_POWERHAL_SCREEN_OFF_STATE,13,0,0
PERF_RES_POWERHAL_SCN_CRASH,13,0,1
PERF_RES_POWERHAL_SPORTS_MODE,13,1,0
PERF_RES_POWERHAL_SPORTS_MODE_APP_SMART_MODE,13,1,1
PERF_RES_POWERHAL_GAME_MODE_ENABLE,13,1,2
PERF_RES_POWERHAL_TOUCH_BOOST_OPP,13,2,0
PERF_RES_POWERHAL_TOUCH_BOOST_DURATION,13,2,1
PERF_RES_POWERHAL_TOUCH_BOOST_ACTIVE_TIME,13,2,2
PERF_RES_POWERHAL_TOUCH_BOOST_EAS_BOOST,13,2,3
PERF_RES_POWERHAL_TOUCH_BOOST_TIME_TO_LAST_TOUCH,13,2,4
PERF_RES_POWERHAL_TOUCH_BOOST_ENABLE,13,2,5
PERF_RES_POWERHAL_TOUCH_BOOST_NOTIFY_FBC,13,2,6
PERF_RES_POWERHAL_TOUCH_BOOST_DEBOOST_WHEN_RENDER,13,2,7
PERF_RES_POWERHAL_TOUCH_BOOST_CLUSTER_0_OPP,13,2,8
PERF_RES_POWERHAL_TOUCH_BOOST_CLUSTER_1_OPP,13,2,9
PERF_RES_POWERHAL_TOUCH_BOOST_CLUSTER_2_OPP,13,2,10
PERF_RES_POWERHAL_TOUCH_BOOST_NOTIFY_TOUCH_EVENT,13,2,11
PERF_RES_POWERHAL_TOUCH_BOOST_EAS_BOOST_FG,13,2,12
PERF_RES_POWERHAL_TOUCH_BOOST_PREFER_IDLE_TA,13,2,13
PERF_RES_POWERHAL_TOUCH_BOOST_PREFER_IDLE_FG,13,2,14
PERF_RES_POWERHAL_WHITELIST_APP_LAUNCH_TIME_COLD,13,3,0
PERF_RES_POWERHAL_WHITELIST_APP_LAUNCH_TIME_WARM,13,3,1
PERF_RES_POWERHAL_WHITELIST_ACT_SWTICH_TIME,13,3,2
PERF_RES_POWER_HINT_HOLD_TIME,13,4,0
PERF_RES_POWER_HINT_EXT_HINT,13,4,1
PERF_RES_POWER_HINT_EXT_HINT_HOLD_TIME,13,4,2
PERF_RES_POWER_END_HINT_HOLD_TIME,13,4,3
PERF_RES_POWER_HINT_INSTALL_MAX_DURATION,13,4,4
PERF_RES_POWERHAL_HIDE_LOG,13,5,0
PERF_RES_APPLIST_FPS_TOLERANCE_PERCENT,13,6,0
PERF_RES_CUSTOM_RESOURCE_1,64,0,0
PERF_RES_KSWAPD_AFFINITY,64,0,7
